[INFO] 2016-06-12 11:34:18| Using default implementation for ThreadExecutor | StdSchedulerFactory.java.instantiate 1184
[INFO] 2016-06-12 11:34:18| Job execution threads will use class loader of thread: main | SimpleThreadPool.java.initialize 268
[INFO] 2016-06-12 11:34:18| Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl | SchedulerSignalerImpl.java.<init> 61
[INFO] 2016-06-12 11:34:18| Quartz Scheduler v.2.2.1 created. | QuartzScheduler.java.<init> 240
[INFO] 2016-06-12 11:34:18| RAMJobStore initialized. | RAMJobStore.java.initialize 155
[INFO] 2016-06-12 11:34:18| Scheduler meta-data: Quartz Scheduler (v2.2.1) 'DefaultQuartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.
 | QuartzScheduler.java.initialize 305
[INFO] 2016-06-12 11:34:18| Quartz scheduler 'DefaultQuartzScheduler' initialized from default resource file in Quartz package: 'quartz.properties' | StdSchedulerFactory.java.instantiate 1339
[INFO] 2016-06-12 11:34:18| Quartz scheduler version: 2.2.1 | StdSchedulerFactory.java.instantiate 1343
[INFO] 2016-06-12 11:34:18| 2016-6-12 11:34:30 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:34:18| Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED started. | QuartzScheduler.java.start 575
[INFO] 2016-06-12 11:34:30| start report Job :Sun Jun 12 11:34:30 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:34:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:34:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:34:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:34:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:34:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:35:00| start report Job :Sun Jun 12 11:35:00 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:35:00| wrong URI, line number:2 | LoggerUtil.java.error 13
